City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Kruisfontein,ZA,-34.0033,24.7314,68.88,95,100,8.43,overcast clouds
105,Lashio,MM,22.9333,97.75,54.86,98,12,1.07,few clouds
106,Nishihara,JP,26.1842,127.7558,67.28,78,75,9.22,mist
107,Upernavik,GL,72.7868,-56.1549,6.26,91,100,10.02,overcast clouds
108,Peruibe,BR,-24.32,-46.9983,73.22,89,74,1.99,broken clouds
109,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,12.66,light snow
110,Argentan,FR,48.75,-0.0167,50.72,79,100,6.04,overcast clouds
111,Ust-Ishim,RU,57.6935,71.1665,13.82,95,99,6.4,light snow
112,Codrington,AU,-38.2667,141.9667,80.55,25,61,17.02,broken clouds
113,Makakilo City,US,21.3469,-158.0858,80.92,60,75,13.8,broken clouds
114,Tabou,CI,4.423,-7.3528,80.08,83,12,7.38,few clouds
115,Thompson,CA,55.7435,-97.8558,3.36,78,90,0.0,light snow
116,Saskylakh,RU,71.9167,114.0833,-44.95,100,70,3.09,broken clouds
117,Jardim De Piranhas,BR,-6.3786,-37.3519,90.39,39,23,16.28,few clouds
118,Hofn,IS,64.2539,-15.2082,39.92,84,100,3.47,moderate rain
119,Nemuro,JP,43.3236,145.575,33.1,59,25,29.71,scattered clouds
120,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.32,93,100,0.87,moderate rain
121,Samarai,PG,-10.6167,150.6667,82.99,77,100,11.14,overcast clouds
122,Port Elizabeth,ZA,-33.918,25.5701,71.1,88,90,4.61,overcast clouds
123,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,74,75,4.47,broken clouds
124,Leningradskiy,RU,69.3833,178.4167,-31.59,91,3,4.27,clear sky
125,Puerto Madryn,AR,-42.7692,-65.0385,67.8,34,38,33.15,scattered clouds
126,Mount Gambier,AU,-37.8333,140.7667,69.21,45,25,7.49,scattered clouds
127,Tiksi,RU,71.6872,128.8694,-19.25,100,100,2.55,overcast clouds
128,East London,ZA,-33.0153,27.9116,71.56,96,100,11.36,moderate rain
