City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Dwarka,IN,73.06,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
208,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
209,Great Yarmouth,GB,53.94,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
210,Nouadhibou,MR,66.29,overcast clouds,20.931,-17.0347,El Medina
211,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
213,Sainte-Suzanne,RE,79.02,broken clouds,-20.9061,55.6089,Gites Ango
214,Lima,PE,69.13,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
215,Garwa,IN,52.0,clear sky,24.1833,83.8167,A.PS.D Utsav Garden
217,Arlit,NE,70.48,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
218,Hervey Bay,AU,82.04,light rain,-25.2986,152.8535,Shelly Bay Resort
219,Arica,CL,71.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
221,Guerrero Negro,MX,67.5,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Ribeira Grande,PT,58.71,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
223,Komsomolskiy,UZ,35.02,haze,40.4272,71.7189,Ikathouse
224,Kaitangata,NZ,60.93,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
226,Tymovskoye,RU,17.62,light snow,50.8456,142.655,"Gostinitsa ""Domashnyaya"""
227,Wakkanai,JP,31.28,light snow,45.4094,141.6739,Hyōsetsu-sō
230,Boyolangu,ID,76.15,overcast clouds,-8.1181,111.8935,Yos ega cv
231,Kandrian,PG,78.85,overcast clouds,-6.2167,149.55,Kandrian Station
232,Roald,NO,45.34,scattered clouds,62.5833,6.1333,Flem Cabins
233,Hilton Head Island,US,60.91,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
234,Castro,BR,72.64,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
235,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
236,Impfondo,CG,73.94,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
237,Shimoda,JP,51.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
238,Nampula,MZ,75.15,few clouds,-15.1165,39.2666,BUTIK Hotel
239,Port Keats,AU,86.31,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
240,Batemans Bay,AU,72.19,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
242,Sao Filipe,CV,75.29,overcast clouds,14.8961,-24.4956,Hotel Xaguate
243,Gurupi,BR,75.09,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
244,Jepara,ID,74.08,overcast clouds,-5.1695,105.7044,Hotel Yestoya
245,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
246,Vanderhoof,CA,25.14,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
247,Suditi,RO,44.06,broken clouds,44.5833,27.6,Cabana Suditi
248,Cidreira,BR,71.94,clear sky,-30.1811,-50.2056,Hotel Castelo
249,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
251,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
252,Sitka,US,33.69,light snow,57.0531,-135.33,Westmark Sitka
253,Loudi,CN,43.48,few clouds,27.7344,111.9944,Till Bright Hotel
254,Hualmay,PE,71.17,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
255,Portland,US,46.9,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
256,Linhares,BR,75.63,light rain,-19.3911,-40.0722,Hotel Conceição
257,Lubango,AO,63.48,light rain,-14.9172,13.4925,Hotel Serra da Chela
258,Hobyo,SO,78.35,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
259,Lubao,PH,78.87,overcast clouds,14.9167,120.55,Hacienda Gracia
260,Yuyao,CN,47.97,broken clouds,30.05,121.1494,Grand Pacific Hotel Ningbo
261,Gezing,AT,35.15,broken clouds,47.9178,13.1299,Landhaus Brieger
262,Hirara,JP,68.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
263,Kathmandu,NP,41.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
264,Baneh,IR,39.38,clear sky,35.9975,45.8853,ساختمان زیتون
265,Nanortalik,GL,21.87,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
266,Dovolnoye,RU,4.64,overcast clouds,54.4958,79.6671,Gostinitsa
267,Fuyang,CN,35.58,clear sky,32.9,115.8167,Fuyang Wanda Realm Hotel
268,Endicott,US,41.97,clear sky,42.0984,-76.0494,Knights Inn Endwell
269,Muros,ES,57.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
270,Laguna,US,54.91,light rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
271,Rafraf,TN,50.32,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
272,Balkanabat,TM,43.61,clear sky,39.5108,54.3671,Nebitchi Hotel
273,Tete,MZ,93.29,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
274,Mnogovershinnyy,RU,19.71,snow,53.9353,139.9242,Obshchezhitiye 14
276,Key Largo,US,80.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
277,Dalvik,IS,40.93,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
278,Qaqortoq,GL,19.9,clear sky,60.7167,-46.0333,Siniffik Inn
279,Severo-Kurilsk,RU,32.9,broken clouds,50.6789,156.125,Kak Doma
280,Along,IN,49.86,clear sky,28.1667,94.7667,Hotel West
